iter	CrossEntropy
0	0.6872939405
1	0.6757562371
2	0.6693825951
3	0.6599536571
4	0.6531000136
5	0.6461272844
6	0.6361376868
7	0.6280211281
8	0.6240913991
9	0.6161404095
10	0.6102223652
11	0.6035145661
12	0.6007428815
13	0.5971018187
14	0.5935019425
15	0.5881122577
16	0.5798834195
17	0.5759001649
18	0.5728225308
19	0.5663414982
20	0.5625644564
21	0.5586242089
22	0.5537680672
23	0.5517963673
24	0.5491619746
25	0.5451301354
26	0.5433728603
27	0.5393605274
28	0.5350272517
29	0.530897643
30	0.5278007255
31	0.5250933144
32	0.5219199035
33	0.5190768201
34	0.5152537756
35	0.5109119685
36	0.5093076965
37	0.5066276306
38	0.5033373561
39	0.501313255
40	0.4987810145
41	0.4958274924
42	0.4938927834
43	0.4917462549
44	0.4900358872
45	0.4882313712
46	0.4869616186
47	0.4859335268
48	0.4853047768
49	0.4849764497
50	0.4830300704
51	0.4813917471
52	0.479456935
53	0.4775115742
54	0.475927034
55	0.47358723
56	0.4718338538
57	0.4690109169
58	0.4671692795
59	0.4649414052
60	0.4648587533
61	0.4626244794
62	0.4618350202
63	0.4609235357
64	0.4597825046
65	0.458641893
66	0.4567312307
67	0.4554180807
68	0.4531497397
69	0.4522589745
70	0.4501608068
71	0.4490788276
72	0.4471134202
73	0.4451275746
74	0.4443549643
75	0.443310238
76	0.4426718951
77	0.4421157244
78	0.4409432285
79	0.4388651641
80	0.4377585003
81	0.4351600644
82	0.4343747617
83	0.4331440473
84	0.4325687224
85	0.4303219884
86	0.4288412996
87	0.4278417761
88	0.4260372201
89	0.4248919374
90	0.4237172177
91	0.4219870527
92	0.4205365416
93	0.4196841721
94	0.4190142592
95	0.4178822479
96	0.4166278185
97	0.4158361691
98	0.415448591
99	0.4148082185
100	0.4139306294
101	0.4130811636
102	0.4119685509
103	0.410421335
104	0.4097706861
105	0.4077529919
106	0.4062163182
107	0.4050897597
108	0.4045993493
109	0.4034675844
110	0.4028052843
111	0.4015445347
112	0.4003807151
113	0.4001736514
114	0.3994677554
115	0.3989644622
116	0.3976223227
117	0.3966391106
118	0.3953407809
119	0.3948974874
120	0.3947625646
121	0.3935323225
122	0.3931469429
123	0.3920548106
124	0.3920528546
125	0.3911762142
126	0.3908879199
127	0.3905393141
128	0.3891948709
129	0.3886010044
130	0.3883128793
131	0.3882021667
132	0.388117161
133	0.3868790275
134	0.3865327188
135	0.3848735198
136	0.3843693716
137	0.3836009512
138	0.3832383689
139	0.3827857768
140	0.3819823933
141	0.3805099068
142	0.3801592776
143	0.3799132856
144	0.3788618917
145	0.3780663086
146	0.3768712372
147	0.3763055029
148	0.3759052001
149	0.3743127204
150	0.3741342335
151	0.373651532
152	0.3725985718
153	0.3720074178
154	0.3706190471
155	0.3698481235
156	0.3695562549
157	0.3690992628
158	0.3680500559
159	0.3676257128
160	0.3666673623
161	0.3656747736
162	0.3651458752
163	0.3647227367
164	0.3643527245
165	0.3634582644
166	0.3628239589
167	0.3620952443
168	0.3612176816
169	0.3605716663
170	0.3601152245
171	0.3594467056
172	0.3589753323
173	0.3584677865
174	0.3569710123
175	0.3566316091
176	0.3555426873
177	0.3551328145
178	0.3543072541
179	0.3537161119
180	0.3531268104
181	0.3527117541
182	0.3525010783
183	0.3516611748
184	0.3506077063
185	0.3501375429
186	0.3494091844
187	0.3488614895
188	0.3474871914
189	0.3472502976
190	0.347171039
191	0.3471388074
192	0.3468737703
193	0.3462687257
194	0.3461312012
195	0.3456110882
196	0.3449462698
197	0.3436753835
198	0.3433655853
199	0.3427406645
200	0.3423205784
201	0.3418594645
202	0.3415301977
203	0.3407841762
204	0.340194715
205	0.339864272
206	0.3397327571
207	0.3393269381
208	0.3393250556
209	0.3388796786
210	0.3383800052
211	0.3378933485
212	0.3375106404
213	0.3371779787
214	0.3362929095
215	0.3357749494
216	0.3351964505
217	0.3344568843
218	0.3339062783
219	0.3334044236
220	0.3325983482
221	0.331760487
222	0.3308485166
223	0.3303469552
224	0.3284967112
225	0.327918042
226	0.3276094966
227	0.3275172053
228	0.3268393796
229	0.3266208901
230	0.3263441067
231	0.3261252179
232	0.3254900477
233	0.3252702801
234	0.3243223884
235	0.3228830174
236	0.3223178791
237	0.3221647599
238	0.321808804
239	0.3213064205
240	0.3211475579
241	0.3206745201
242	0.3203492638
243	0.3200494901
244	0.3198927222
245	0.3191869297
246	0.3182495268
247	0.3176611836
248	0.3174213208
249	0.316689889
250	0.3164961523
251	0.316105467
252	0.3155411039
253	0.3151474175
254	0.3149157731
255	0.3144975409
256	0.3136178396
257	0.31334167
258	0.3130309988
259	0.3122179721
260	0.3113170702
261	0.3104542596
262	0.3097459246
263	0.3093577628
264	0.3090069192
265	0.3082967085
266	0.3079180736
267	0.3075888564
268	0.3073064921
269	0.3068303818
270	0.3065184608
271	0.3062569428
272	0.305953521
273	0.3052581052
274	0.3041639856
275	0.3035068984
276	0.3030264477
277	0.3027004413
278	0.3021056216
279	0.3018247587
280	0.3014169999
281	0.3012363549
282	0.3007500776
283	0.3004119869
284	0.300063501
285	0.2996117243
286	0.2990746533
287	0.2988363078
288	0.2987017446
289	0.2982744548
290	0.2976381915
291	0.2972481919
292	0.2971585268
293	0.2969714038
294	0.2965776607
295	0.2960474119
296	0.2960143477
297	0.2953079161
298	0.2951417478
299	0.2944667354
300	0.2943123383
301	0.2939295655
302	0.2936455317
303	0.2930724451
304	0.2930683223
305	0.292842194
306	0.2924452889
307	0.2919842357
308	0.2916106864
309	0.2912101358
310	0.2906889597
311	0.2906105838
312	0.2900549196
313	0.289687745
314	0.2895100349
315	0.2889711923
316	0.2888908895
317	0.2886287922
318	0.2883523199
319	0.2869667155
320	0.2867058864
321	0.2864623855
322	0.2862333479
323	0.2858123347
324	0.2853175152
325	0.2851103753
326	0.2847158363
327	0.2844386099
328	0.2840048941
329	0.2838524601
330	0.283552582
331	0.2833849894
332	0.283134109
333	0.2829138104
334	0.2828687671
335	0.2828669825
336	0.282731207
337	0.2823909952
338	0.2821632364
339	0.2814310225
340	0.280714179
341	0.2798064112
342	0.2796326256
343	0.2794497334
344	0.2789590291
345	0.278872824
346	0.2788667967
347	0.2784748091
348	0.2780892266
349	0.2775994962
350	0.2773899273
351	0.2772795651
352	0.2768175038
353	0.2766133565
354	0.2764322433
355	0.2761571741
356	0.2755216562
357	0.2751857274
358	0.274930635
359	0.274757037
360	0.2745879589
361	0.274050068
362	0.2740141761
363	0.2737095553
364	0.273490206
365	0.272541072
366	0.2723469973
367	0.2723293693
368	0.272002968
369	0.2719104527
370	0.2718754063
371	0.2717510789
372	0.2717039389
373	0.2710243854
374	0.270887032
375	0.2702584385
376	0.2702424693
377	0.2699642578
378	0.2693815768
379	0.2691531519
380	0.2689037933
381	0.2686441897
382	0.268485179
383	0.2682710038
384	0.2679360389
385	0.2671912133
386	0.266871763
387	0.2664955763
388	0.2664251237
389	0.2662990986
390	0.2660423915
391	0.2657232421
392	0.2653610981
393	0.2651576684
394	0.2647527781
395	0.2645833142
396	0.264531107
397	0.2641603987
398	0.2640198127
399	0.2636482334
400	0.2636110174
401	0.2635591655
402	0.2631523933
403	0.2629939308
404	0.2628461817
405	0.2626726218
406	0.2622314585
407	0.2621928616
408	0.2620782513
409	0.2617761215
410	0.2615860232
411	0.2610586146
412	0.2607644021
413	0.2598858121
414	0.2596238882
415	0.2591477176
416	0.2591035367
417	0.2589626966
418	0.258481039
419	0.2581227141
420	0.2580852479
421	0.2577940046
422	0.2576717518
423	0.2576555915
424	0.2572738882
425	0.2572195282
426	0.2568550844
427	0.256815269
428	0.256513085
429	0.2563693429
430	0.2563193546
431	0.2558790797
432	0.2557203658
433	0.2556262943
434	0.2554892099
435	0.2549774999
436	0.2543115145
437	0.2542557542
438	0.2541984197
439	0.2539336308
440	0.2530306074
441	0.2529699155
442	0.2524620381
443	0.2523282634
444	0.2522818593
445	0.2521875232
446	0.2517254634
447	0.2516215648
448	0.2515757516
449	0.2513429473
450	0.2512048734
451	0.2510918609
452	0.2509982905
453	0.2505669019
454	0.2504729672
455	0.2502475642
456	0.2501301452
457	0.2500694658
458	0.2494638334
459	0.2491099174
460	0.2480805643
461	0.2476857717
462	0.2474372651
463	0.247358975
464	0.2470831979
465	0.2466729324
466	0.2464559035
467	0.2464418093
468	0.2462683449
469	0.2461060022
470	0.2458268838
471	0.2455077051
472	0.2450557058
473	0.2447494747
474	0.2445005727
475	0.2444832028
476	0.2443240912
477	0.2442627338
478	0.2441105172
479	0.2440195075
480	0.2439621461
481	0.2435134026
482	0.2431321801
483	0.2425844553
484	0.2422830331
485	0.2416995603
486	0.2415398634
487	0.241413895
488	0.2413202258
489	0.2407901157
490	0.2405004969
491	0.2401601073
492	0.2400504213
493	0.2399398573
494	0.2397026237
495	0.2395103402
496	0.2394633111
497	0.2392139919
498	0.2389346212
499	0.2388506214
500	0.2387386113
501	0.2385725065
502	0.2385008595
503	0.2379907209
504	0.2376286096
505	0.2373131617
506	0.2372128456
507	0.2369407893
508	0.2369158473
509	0.2365377825
510	0.2365191239
511	0.2361929614
512	0.2360054282
513	0.2357296456
514	0.2356186245
515	0.2353041354
516	0.2350882344
517	0.2350206915
518	0.2349094463
519	0.2346429438
520	0.2341996008
521	0.2341449454
522	0.2333457694
523	0.2330975061
524	0.2330903632
525	0.2330732138
526	0.2328516534
527	0.2328122026
528	0.2325755139
529	0.2322679271
530	0.2321374854
531	0.2319775095
532	0.231789899
533	0.2316409216
534	0.2315252283
535	0.2314957209
536	0.231436139
537	0.2313416293
538	0.2310770235
539	0.2307726384
540	0.2307608547
541	0.2305491771
542	0.2304184823
543	0.2301372263
544	0.2301319506
545	0.2301202534
546	0.2299245607
547	0.2298335356
548	0.2296775137
549	0.2295535963
550	0.2292345755
551	0.2290173057
552	0.22877616
553	0.228531746
554	0.2284114849
555	0.2283112381
556	0.2280038411
557	0.2275899054
558	0.2275010451
559	0.2271054301
560	0.2268559566
561	0.2266268982
562	0.2263838959
563	0.2262958326
564	0.2261673729
565	0.2260281667
566	0.2259037277
567	0.2258629662
568	0.2253935405
569	0.2252981712
570	0.2252376653
571	0.2249133014
572	0.2248316749
573	0.2243239441
574	0.2243144317
575	0.2242119185
576	0.2241082078
577	0.223957709
578	0.2237653787
579	0.2236145767
580	0.2235729935
581	0.2235488394
582	0.223538337
583	0.223471743
584	0.2233802571
585	0.2232365735
586	0.2230015099
587	0.2227990613
588	0.2226438374
589	0.2224912978
590	0.222444268
591	0.2222764836
592	0.2222753778
593	0.2221663013
594	0.2218104615
595	0.2217639147
596	0.2216195419
597	0.2216019147
598	0.221355882
599	0.2211501694
600	0.2210749242
601	0.221071618
602	0.221029811
603	0.2210135415
604	0.2209319128
605	0.2207991253
606	0.2206426106
607	0.2206329659
608	0.2205984663
609	0.2205941603
610	0.2204912136
611	0.2202830865
612	0.220232181
613	0.2201814543
614	0.219849695
615	0.2196401423
616	0.2196362656
617	0.2196329369
618	0.2195485599
619	0.2194440867
620	0.2192399345
621	0.2192319208
622	0.2191161276
623	0.2189605621
624	0.218885966
625	0.2187807647
626	0.2187002942
627	0.2186366197
628	0.2186056578
629	0.2182764169
630	0.2181458696
631	0.218031336
632	0.2178876643
633	0.2178647033
634	0.2173507087
635	0.2173133574
636	0.217250013
637	0.2171233026
638	0.2169857614
639	0.2167528655
640	0.2165238649
641	0.2164317283
642	0.2164111183
643	0.216373252
644	0.2163515608
645	0.2162034274
646	0.2161762363
647	0.2161163877
648	0.2161133237
649	0.2160762059
650	0.2158282381
651	0.2155899638
652	0.2152175409
653	0.214678537
654	0.2145819204
655	0.2145137558
656	0.2144345278
657	0.2142877176
658	0.2141660748
659	0.2135758402
660	0.2132634444
661	0.2130219989
662	0.2129033323
663	0.212683161
664	0.2126658228
665	0.2125836915
666	0.2125603277
667	0.2124329592
668	0.2123021215
669	0.2120699911
670	0.2120265327
671	0.212010716
672	0.2119503498
673	0.2118749988
674	0.2116548257
675	0.2114800156
676	0.2113837872
677	0.2113383396
678	0.2111958927
679	0.2110344227
680	0.2109207646
681	0.2108577678
682	0.2106071782
683	0.2104138132
684	0.2103923643
685	0.2102732729
686	0.2100683847
687	0.2099863857
688	0.2099711194
689	0.2096774658
690	0.2096111082
691	0.2095264469
692	0.2095052637
693	0.2093007744
694	0.2091978232
695	0.2091163551
696	0.2090476893
697	0.2090085977
698	0.2089903911
699	0.2087824679
700	0.2086464229
701	0.2085823024
702	0.2083838764
703	0.2082538581
704	0.2079910566
705	0.2079022381
706	0.2075535104
707	0.2071596391
708	0.2070821211
709	0.2070325166
710	0.2068949113
711	0.2068819531
712	0.2068248938
713	0.2067505054
714	0.2067010648
715	0.2065729619
716	0.2063925049
717	0.2062925245
718	0.2061871747
719	0.2060433402
720	0.2058753547
721	0.2058697354
722	0.2058094756
723	0.2054034516
724	0.2053885495
725	0.2052843054
726	0.2050492419
727	0.20504521
728	0.2050211846
729	0.204898642
730	0.2048679345
731	0.204814384
732	0.2042736336
733	0.2042160377
734	0.204212281
735	0.2041608675
736	0.2040038968
737	0.2039159256
738	0.2038376719
739	0.2037881663
740	0.2035942978
741	0.2035856781
742	0.2035513089
743	0.2035467404
744	0.2034551167
745	0.2031641604
746	0.2030694938
747	0.2029901052
748	0.2027687628
749	0.2027431155
750	0.2026122929
751	0.2023531157
752	0.202293316
753	0.2021046782
754	0.2020697014
755	0.2020426079
756	0.2019646105
757	0.2019607728
758	0.2018249255
759	0.2017647759
760	0.2016662713
761	0.2016472994
762	0.2015132415
763	0.2014305599
764	0.2014189824
765	0.2011784391
766	0.2009823265
767	0.2007973107
768	0.2007828412
769	0.200722559
770	0.2006775792
771	0.2006201096
772	0.2002011159
773	0.2001082299
774	0.2001021248
775	0.2000252122
776	0.1999619863
777	0.1997195335
778	0.1996709924
779	0.1995446196
780	0.1995299419
781	0.199496818
782	0.199462393
783	0.1990546549
784	0.1990477289
785	0.1990429417
786	0.1990289466
787	0.1989879647
788	0.1989083108
789	0.1988284164
790	0.1988050838
791	0.198757447
792	0.198706889
793	0.1986904963
794	0.1985563691
795	0.1983772213
796	0.1983501163
797	0.1983299392
798	0.1981246783
799	0.1979826056
800	0.1978932109
801	0.1978827001
802	0.1978084863
803	0.1972409397
804	0.1971290163
805	0.1971245549
806	0.1970377931
807	0.1969091648
808	0.1965285289
809	0.1964975285
810	0.1964963847
811	0.1964466575
812	0.1963617265
813	0.1963538061
814	0.1963481517
815	0.196225462
816	0.1960141805
817	0.1959730491
818	0.1959547844
819	0.1958962744
820	0.1957506436
821	0.1957159072
822	0.1949923749
823	0.194740426
824	0.1947345845
825	0.1945941349
826	0.1943153251
827	0.1940008009
828	0.1939734843
829	0.1938652409
830	0.1937695483
831	0.1936711247
832	0.1935988875
833	0.1933585676
834	0.1933413348
835	0.1931118217
836	0.1928618478
837	0.1927409009
838	0.1926784967
839	0.192643282
840	0.1925094888
841	0.1923059395
842	0.1920383118
843	0.1918491369
844	0.1917375707
845	0.1916454719
846	0.1916024435
847	0.1913891172
848	0.1913458167
849	0.1911133988
850	0.191102961
851	0.1910841013
852	0.1910088976
853	0.1908667106
854	0.1904080097
855	0.1904021944
856	0.1902165705
857	0.1901895679
858	0.1901852175
859	0.1901022973
860	0.1900448457
861	0.1898877266
862	0.1895238264
863	0.1894894259
864	0.1893253647
865	0.1893134424
866	0.1893079096
867	0.1892931186
868	0.1892724738
869	0.1886893213
870	0.1884310186
871	0.1884233814
872	0.1883553907
873	0.1883315992
874	0.1881779313
875	0.1880736963
876	0.187932461
877	0.1879315135
878	0.187636054
879	0.1876240152
880	0.1876229569
881	0.1875711982
882	0.1875694184
883	0.1875648294
884	0.1875577605
885	0.1874849539
886	0.1874090225
887	0.1874077932
888	0.1872323165
889	0.1872251144
890	0.1869475098
891	0.1869429432
892	0.1868024263
893	0.1865599414
894	0.1864602051
895	0.1864577187
896	0.1863986449
897	0.1861181627
898	0.1857069119
899	0.1856459093
900	0.1856426792
901	0.1854984366
902	0.1853539783
903	0.1852369003
904	0.1852231215
905	0.1851882181
906	0.1851663464
907	0.1851523941
908	0.1851037294
909	0.1849893581
910	0.1849252244
911	0.1848494283
912	0.1848299388
913	0.1846957792
914	0.1844796756
915	0.1843549318
916	0.1843292761
917	0.1842362255
918	0.1842140253
919	0.1841911165
920	0.1841313873
921	0.1840369274
922	0.1834188908
923	0.1833553186
924	0.1833249913
925	0.1832526049
926	0.1832345019
927	0.1832340387
928	0.1829576091
929	0.1829347231
930	0.1828767722
931	0.1828375024
932	0.182770117
933	0.1825861197
934	0.1824930512
935	0.1824919912
936	0.1824893346
937	0.1824635696
938	0.1823796149
939	0.1823757462
940	0.1820560838
941	0.1820113325
942	0.181992112
943	0.181941183
944	0.1819048943
945	0.1818503054
946	0.1817763846
947	0.1817452825
948	0.1816656222
949	0.1815119285
950	0.1813617544
951	0.1812284298
952	0.181018659
953	0.1809617706
954	0.1809353499
955	0.1809014285
956	0.1808572716
957	0.1807521048
958	0.1807430378
959	0.1806965116
960	0.1806958349
961	0.1805470845
962	0.1804900109
963	0.180196543
964	0.1801484796
965	0.1801300879
966	0.1800586438
967	0.1800488254
968	0.1800298424
969	0.1799560098
970	0.1798157917
971	0.1797111135
972	0.1796074239
973	0.1791272688
974	0.179125263
975	0.1788905962
976	0.178869994
977	0.1788606741
978	0.1783726843
979	0.1782348047
980	0.1779497887
981	0.1778248426
982	0.1777514217
983	0.1777264041
984	0.1777031198
985	0.1776758245
986	0.177643385
987	0.1774409648
988	0.177415464
989	0.1774150356
990	0.1772050703
991	0.1771704686
992	0.1771405778
993	0.1770089761
994	0.1770072353
995	0.1769148147
996	0.1769076107
997	0.1768885099
998	0.176606269
999	0.1765475872
