iter	Passed	Remaining
0	5	5374
1	14	7343
2	23	7867
3	33	8444
4	43	8564
5	50	8412
6	59	8371
7	67	8406
8	76	8467
9	86	8553
10	95	8587
11	104	8636
12	111	8461
13	120	8512
14	125	8248
15	136	8399
16	146	8453
17	156	8524
18	167	8637
19	176	8656
20	185	8638
21	192	8556
22	202	8602
23	212	8627
24	222	8683
25	232	8728
26	242	8740
27	251	8743
28	261	8755
29	269	8719
30	279	8737
31	288	8741
32	299	8771
33	308	8777
34	318	8786
35	329	8832
36	339	8838
37	349	8859
38	359	8867
39	369	8878
40	379	8886
41	389	8884
42	399	8894
43	410	8913
44	420	8925
45	427	8867
46	433	8795
47	439	8706
48	443	8610
49	448	8524
50	458	8529
51	466	8507
52	475	8502
53	484	8485
54	493	8485
55	501	8457
56	511	8458
57	519	8441
58	531	8472
59	539	8459
60	545	8397
61	555	8397
62	565	8415
63	572	8375
64	579	8333
65	586	8304
66	596	8303
67	606	8313
68	616	8314
69	625	8314
70	634	8304
71	644	8303
72	652	8287
73	662	8290
74	669	8253
75	679	8266
76	685	8213
77	693	8192
78	703	8198
79	712	8199
80	720	8176
81	731	8194
82	741	8187
83	749	8176
84	759	8177
85	766	8149
86	772	8105
87	781	8101
88	790	8095
89	800	8089
90	807	8069
91	817	8065
92	827	8065
93	835	8055
94	845	8058
95	853	8033
96	863	8040
97	873	8041
98	880	8016
99	890	8013
100	898	7994
101	905	7975
102	915	7970
103	925	7969
104	932	7945
105	943	7954
106	953	7955
107	963	7960
108	975	7973
109	984	7967
110	995	7971
111	1004	7967
112	1014	7965
113	1019	7925
114	1027	7908
115	1038	7916
116	1048	7910
117	1058	7908
118	1066	7898
119	1075	7890
120	1080	7847
121	1089	7840
122	1095	7812
123	1103	7795
124	1107	7755
125	1118	7760
126	1124	7732
127	1134	7730
128	1141	7708
129	1150	7702
130	1155	7667
131	1161	7636
132	1168	7615
133	1177	7608
134	1182	7575
135	1190	7565
136	1198	7552
137	1207	7540
138	1217	7538
139	1224	7522
140	1232	7510
141	1242	7507
142	1247	7474
143	1252	7447
144	1262	7445
145	1271	7438
146	1278	7421
147	1288	7414
148	1297	7408
149	1307	7407
150	1312	7379
151	1322	7376
152	1331	7371
153	1340	7364
154	1350	7363
155	1361	7365
156	1368	7348
157	1378	7347
158	1389	7349
159	1399	7347
160	1406	7331
161	1416	7325
162	1425	7321
163	1435	7315
164	1441	7294
165	1449	7284
166	1458	7274
167	1468	7270
168	1477	7263
169	1487	7261
170	1497	7258
171	1504	7244
172	1513	7234
173	1522	7227
174	1530	7213
175	1539	7207
176	1549	7203
177	1557	7192
178	1565	7179
179	1575	7175
180	1581	7157
181	1588	7140
182	1594	7117
183	1602	7106
184	1612	7104
185	1620	7093
186	1627	7076
187	1637	7071
188	1647	7067
189	1654	7053
190	1660	7031
191	1664	7006
192	1670	6983
193	1676	6965
194	1681	6940
195	1691	6940
196	1701	6935
197	1711	6932
198	1720	6925
199	1728	6914
200	1738	6911
201	1748	6908
202	1755	6894
203	1764	6886
204	1774	6880
205	1782	6870
206	1787	6847
207	1797	6844
208	1801	6818
209	1808	6805
210	1818	6799
211	1828	6795
212	1834	6776
213	1845	6777
214	1852	6765
215	1861	6756
216	1872	6757
217	1884	6758
218	1895	6758
219	1905	6754
220	1915	6750
221	1926	6749
222	1935	6744
223	1944	6737
224	1953	6730
225	1961	6717
226	1971	6713
227	1977	6696
228	1986	6688
229	1996	6682
230	2005	6676
231	2011	6659
232	2021	6654
233	2026	6635
234	2033	6620
235	2044	6617
236	2053	6611
237	2063	6605
238	2072	6598
239	2079	6585
240	2087	6574
241	2097	6569
242	2106	6562
243	2114	6551
244	2123	6544
245	2132	6537
246	2139	6523
247	2149	6517
248	2157	6506
249	2165	6495
250	2169	6475
251	2180	6471
252	2189	6464
253	2196	6451
254	2203	6438
255	2213	6432
256	2222	6424
257	2231	6418
258	2240	6410
259	2247	6397
260	2257	6393
261	2266	6384
262	2276	6379
263	2285	6372
264	2296	6370
265	2306	6365
266	2314	6353
267	2323	6347
268	2330	6333
269	2340	6327
270	2350	6322
271	2359	6314
272	2368	6307
273	2379	6304
274	2388	6296
275	2397	6288
276	2404	6276
277	2414	6269
278	2423	6263
279	2446	6291
280	2453	6278
281	2460	6263
282	2467	6252
283	2477	6245
284	2484	6233
285	2493	6224
286	2503	6218
287	2512	6210
288	2521	6203
289	2531	6197
290	2539	6186
291	2549	6181
292	2554	6164
293	2561	6150
294	2571	6145
295	2581	6140
296	2586	6121
297	2596	6115
298	2606	6110
299	2616	6104
300	2625	6096
301	2634	6088
302	2643	6081
303	2652	6071
304	2656	6053
305	2665	6046
306	2672	6033
307	2681	6024
308	2692	6020
309	2702	6015
310	2710	6005
311	2715	5988
312	2725	5982
313	2734	5974
314	2744	5967
315	2753	5960
316	2762	5952
317	2772	5945
318	2781	5937
319	2791	5932
320	2799	5920
321	2806	5909
322	2814	5899
323	2822	5888
324	2831	5880
325	2841	5874
326	2850	5866
327	2859	5857
328	2866	5845
329	2870	5828
330	2879	5820
331	2887	5809
332	2897	5803
333	2904	5791
334	2910	5777
335	2914	5759
336	2924	5753
337	2934	5748
338	2944	5740
339	2954	5734
340	2964	5729
341	2973	5721
342	2983	5714
343	2993	5708
344	2999	5695
345	3005	5680
346	3009	5664
347	3019	5657
348	3028	5649
349	3038	5643
350	3047	5635
351	3056	5627
352	3066	5619
353	3075	5612
354	3084	5604
355	3094	5597
356	3103	5589
357	3111	5579
358	3120	5572
359	3128	5562
360	3136	5551
361	3145	5543
362	3150	5528
363	3159	5520
364	3168	5511
365	3177	5504
366	3187	5497
367	3192	5482
368	3201	5474
369	3206	5459
370	3211	5444
371	3220	5436
372	3225	5422
373	3236	5417
374	3246	5410
375	3255	5403
376	3260	5388
377	3269	5379
378	3278	5372
379	3285	5359
380	3294	5352
381	3303	5344
382	3309	5331
383	3318	5323
384	3328	5317
385	3337	5309
386	3348	5304
387	3358	5296
388	3362	5281
389	3369	5269
390	3377	5259
391	3387	5254
392	3396	5246
393	3406	5239
394	3416	5232
395	3425	5224
396	3432	5213
397	3442	5207
398	3451	5198
399	3460	5191
400	3469	5182
401	3477	5172
402	3486	5165
403	3496	5158
404	3503	5147
405	3512	5139
406	3522	5131
407	3530	5123
408	3541	5117
409	3552	5112
410	3560	5102
411	3567	5092
412	3577	5084
413	3586	5075
414	3593	5064
415	3602	5056
416	3608	5044
417	3616	5035
418	3626	5028
419	3633	5018
420	3640	5007
421	3650	4999
422	3658	4990
423	3663	4976
424	3674	4971
425	3683	4963
426	3692	4955
427	3701	4946
428	3710	4939
429	3720	4931
430	3727	4921
431	3737	4914
432	3746	4906
433	3755	4898
434	3765	4890
435	3774	4882
436	3784	4875
437	3795	4870
438	3805	4862
439	3815	4855
440	3824	4847
441	3829	4834
442	3839	4827
443	3847	4818
444	3858	4812
445	3868	4805
446	3876	4795
447	3887	4789
448	3892	4776
449	3902	4769
450	3910	4760
451	3920	4752
452	3928	4744
453	3938	4736
454	3947	4728
455	3957	4720
456	3963	4708
457	3971	4699
458	3981	4692
459	3990	4684
460	3999	4676
461	4007	4666
462	4017	4659
463	4026	4651
464	4035	4643
465	4044	4635
466	4054	4627
467	4059	4614
468	4068	4606
469	4077	4598
470	4086	4589
471	4094	4579
472	4101	4569
473	4110	4561
474	4120	4554
475	4126	4542
476	4136	4535
477	4146	4527
478	4153	4517
479	4164	4511
480	4170	4499
481	4180	4492
482	4191	4486
483	4200	4478
484	4207	4467
485	4214	4457
486	4223	4449
487	4232	4440
488	4239	4430
489	4248	4422
490	4258	4414
491	4267	4406
492	4277	4398
493	4284	4388
494	4294	4381
495	4304	4373
496	4310	4362
497	4319	4354
498	4328	4345
499	4337	4337
500	4342	4325
501	4352	4318
502	4362	4310
503	4370	4301
504	4378	4292
505	4387	4283
506	4396	4275
507	4405	4267
508	4415	4258
509	4424	4250
510	4433	4242
511	4443	4234
512	4452	4227
513	4462	4219
514	4472	4211
515	4479	4201
516	4486	4191
517	4495	4183
518	4505	4176
519	4513	4166
520	4523	4158
521	4532	4150
522	4541	4142
523	4551	4134
524	4556	4122
525	4560	4109
526	4570	4101
527	4579	4093
528	4587	4084
529	4594	4074
530	4604	4066
531	4612	4058
532	4623	4050
533	4632	4042
534	4642	4034
535	4651	4026
536	4660	4018
537	4670	4010
538	4680	4003
539	4688	3994
540	4695	3983
541	4704	3975
542	4711	3965
543	4720	3956
544	4724	3944
545	4733	3936
546	4742	3927
547	4749	3917
548	4758	3908
549	4766	3900
550	4775	3891
551	4784	3883
552	4795	3876
553	4804	3868
554	4812	3858
555	4821	3849
556	4829	3841
557	4840	3833
558	4847	3824
559	4857	3816
560	4865	3807
561	4872	3797
562	4881	3788
563	4889	3779
564	4898	3771
565	4906	3762
566	4916	3754
567	4925	3746
568	4933	3737
569	4940	3727
570	4948	3718
571	4958	3710
572	4967	3701
573	4976	3693
574	4981	3681
575	4991	3674
576	4998	3664
577	5008	3656
578	5017	3648
579	5026	3640
580	5035	3631
581	5045	3623
582	5050	3612
583	5058	3603
584	5069	3596
585	5079	3588
586	5089	3580
587	5098	3572
588	5108	3564
589	5113	3553
590	5121	3544
591	5128	3534
592	5133	3523
593	5142	3515
594	5153	3507
595	5162	3499
596	5169	3489
597	5176	3479
598	5185	3471
599	5192	3461
600	5202	3453
601	5207	3442
602	5216	3434
603	5224	3425
604	5230	3414
605	5239	3406
606	5249	3398
607	5254	3387
608	5264	3379
609	5268	3368
610	5278	3360
611	5288	3352
612	5293	3342
613	5300	3332
614	5310	3324
615	5318	3315
616	5323	3304
617	5327	3293
618	5333	3282
619	5343	3275
620	5352	3266
621	5359	3257
622	5369	3249
623	5374	3238
624	5383	3230
625	5392	3221
626	5401	3213
627	5411	3205
628	5420	3197
629	5428	3187
630	5437	3179
631	5447	3172
632	5456	3163
633	5466	3155
634	5474	3146
635	5478	3135
636	5487	3127
637	5493	3116
638	5504	3109
639	5514	3101
640	5523	3093
641	5533	3085
642	5538	3074
643	5545	3065
644	5549	3054
645	5557	3045
646	5562	3034
647	5571	3026
648	5575	3015
649	5584	3006
650	5593	2998
651	5601	2989
652	5609	2980
653	5619	2973
654	5629	2964
655	5638	2956
656	5646	2947
657	5656	2939
658	5666	2932
659	5673	2922
660	5683	2914
661	5692	2906
662	5701	2898
663	5709	2889
664	5715	2879
665	5722	2870
666	5731	2861
667	5741	2853
668	5750	2845
669	5759	2837
670	5769	2829
671	5775	2818
672	5785	2810
673	5794	2802
674	5805	2795
675	5811	2785
676	5818	2776
677	5824	2766
678	5833	2757
679	5840	2748
680	5849	2740
681	5856	2730
682	5866	2722
683	5874	2713
684	5881	2704
685	5892	2697
686	5901	2688
687	5909	2680
688	5917	2671
689	5927	2663
690	5936	2654
691	5945	2646
692	5954	2637
693	5963	2629
694	5972	2621
695	5981	2612
696	5990	2604
697	5999	2595
698	6008	2587
699	6017	2578
700	6026	2570
701	6035	2562
702	6045	2553
703	6053	2545
704	6063	2537
705	6073	2529
706	6082	2520
707	6092	2512
708	6100	2503
709	6105	2493
710	6113	2484
711	6118	2474
712	6126	2466
713	6135	2457
714	6144	2449
715	6153	2440
716	6162	2432
717	6172	2424
718	6178	2414
719	6188	2406
720	6198	2398
721	6203	2388
722	6210	2379
723	6219	2371
724	6224	2361
725	6232	2352
726	6239	2343
727	6248	2334
728	6258	2326
729	6267	2318
730	6277	2309
731	6285	2301
732	6293	2292
733	6304	2284
734	6309	2274
735	6315	2265
736	6325	2257
737	6335	2249
738	6344	2240
739	6353	2232
740	6359	2222
741	6366	2213
742	6372	2204
743	6377	2194
744	6386	2186
745	6394	2177
746	6409	2170
747	6429	2166
748	6442	2159
749	6452	2150
750	6461	2142
751	6470	2133
752	6479	2125
753	6487	2116
754	6496	2108
755	6505	2099
756	6516	2091
757	6520	2081
758	6530	2073
759	6537	2064
760	6547	2056
761	6553	2046
762	6561	2038
763	6570	2029
764	6576	2020
765	6584	2011
766	6593	2003
767	6603	1994
768	6612	1986
769	6621	1977
770	6628	1968
771	6636	1960
772	6646	1951
773	6658	1944
774	6663	1934
775	6673	1926
776	6682	1917
777	6691	1909
778	6701	1901
779	6709	1892
780	6719	1884
781	6728	1875
782	6735	1866
783	6744	1858
784	6751	1849
785	6756	1839
786	6764	1830
787	6773	1822
788	6782	1813
789	6791	1805
790	6797	1796
791	6807	1787
792	6813	1778
793	6819	1769
794	6829	1761
795	6839	1752
796	6846	1743
797	6856	1735
798	6865	1727
799	6871	1717
800	6881	1709
801	6889	1700
802	6894	1691
803	6903	1683
804	6912	1674
805	6919	1665
806	6929	1657
807	6939	1649
808	6947	1640
809	6956	1631
810	6960	1622
811	6968	1613
812	6977	1604
813	6986	1596
814	6992	1587
815	7001	1578
816	7009	1570
817	7015	1560
818	7024	1552
819	7034	1544
820	7043	1535
821	7048	1526
822	7058	1517
823	7067	1509
824	7071	1500
825	7079	1491
826	7088	1482
827	7097	1474
828	7106	1465
829	7115	1457
830	7124	1448
831	7133	1440
832	7142	1431
833	7152	1423
834	7160	1414
835	7168	1406
836	7177	1397
837	7182	1388
838	7191	1380
839	7201	1371
840	7208	1362
841	7217	1354
842	7225	1345
843	7233	1337
844	7240	1328
845	7247	1319
846	7254	1310
847	7261	1301
848	7270	1293
849	7279	1284
850	7285	1275
851	7293	1267
852	7301	1258
853	7310	1249
854	7319	1241
855	7329	1232
856	7338	1224
857	7343	1215
858	7352	1206
859	7359	1197
860	7368	1189
861	7378	1181
862	7385	1172
863	7395	1164
864	7404	1155
865	7409	1146
866	7413	1137
867	7421	1128
868	7426	1119
869	7435	1111
870	7444	1102
871	7450	1093
872	7460	1085
873	7469	1076
874	7479	1068
875	7488	1060
876	7498	1051
877	7503	1042
878	7512	1034
879	7521	1025
880	7526	1016
881	7535	1008
882	7539	999
883	7544	990
884	7552	981
885	7557	972
886	7568	964
887	7572	955
888	7578	946
889	7587	937
890	7595	929
891	7599	920
892	7608	911
893	7617	903
894	7626	894
895	7631	885
896	7639	877
897	7649	868
898	7657	860
899	7664	851
900	7674	843
901	7684	834
902	7694	826
903	7703	818
904	7708	809
905	7715	800
906	7720	791
907	7731	783
908	7742	775
909	7751	766
910	7761	758
911	7767	749
912	7774	740
913	7784	732
914	7794	724
915	7804	715
916	7813	707
917	7821	698
918	7832	690
919	7841	681
920	7848	673
921	7856	664
922	7865	656
923	7875	647
924	7883	639
925	7892	630
926	7901	622
927	7905	613
928	7915	604
929	7922	596
930	7932	587
931	7941	579
932	7950	570
933	7960	562
934	7969	554
935	7974	545
936	7979	536
937	7987	527
938	7997	519
939	8002	510
940	8011	502
941	8017	493
942	8026	485
943	8037	476
944	8046	468
945	8050	459
946	8060	451
947	8067	442
948	8077	434
949	8086	425
950	8095	417
951	8104	408
952	8113	400
953	8123	391
954	8132	383
955	8141	374
956	8151	366
957	8160	357
958	8167	349
959	8176	340
960	8181	332
961	8191	323
962	8200	315
963	8210	306
964	8220	298
965	8226	289
966	8235	281
967	8244	272
968	8249	263
969	8259	255
970	8266	246
971	8276	238
972	8283	229
973	8290	221
974	8296	212
975	8306	204
976	8315	195
977	8324	187
978	8334	178
979	8343	170
980	8352	161
981	8361	153
982	8371	144
983	8380	136
984	8388	127
985	8397	119
986	8407	110
987	8413	102
988	8423	93
989	8428	85
990	8435	76
991	8444	68
992	8454	59
993	8463	51
994	8468	42
995	8477	34
996	8482	25
997	8489	17
998	8498	8
999	8507	0
